0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:43:01 +0530] "GET /BootStramp1/profile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:44:11 +0530] "GET /BootStramp1/first.html HTTP/1.1" 200 3490
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:44:12 +0530] "GET /BootStramp1/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:44:12 +0530] "GET /BootStramp1/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:44:12 +0530] "GET /BootStramp1/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:49:18 +0530] "GET /BootStramp1/register.html HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:49:18 +0530] "GET /BootStramp1/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:49:18 +0530] "GET /BootStramp1/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:55:17 +0530] "GET /BootStramp1/first.html HTTP/1.1" 200 3502
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:55:20 +0530] "GET /BootStramp1/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:56:15 +0530] "GET /BootStramp1/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:56:18 +0530] "GET /BootStramp1/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:57:24 +0530] "GET /BootStramp1/register.html HTTP/1.1" 200 1422
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:58:28 +0530] "GET /BootStramp1/register.html HTTP/1.1" 200 1425
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:58:28 +0530] "GET /BootStramp1/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:58:28 +0530] "GET /BootStramp1/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:07:07 +0530] "GET /BootStramp1/register.html HTTP/1.1" 200 1426
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:07:07 +0530] "GET /BootStramp1/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:09:58 +0530] "GET /BootStramp1/first.html HTTP/1.1" 304 -
